プレイヤー,KTR,おかだ,まさおぷ,はなび,だいこん,かみせ,おむむむ
アストラ,36.6,50.0,50.0,50.0,50.0,50.0,50.0
ブリーチ,40.7,50.0,50.0,40.0,50.0,50.0,50.0
ブリムストーン,50.0,50.0,55.9,34.3,39.8,40.0,51.9
チェンバー,50.0,50.0,50.0,50.0,50.0,50.0,50.0
クローブ,50.0,50.0,40.0,50.0,50.0,50.0,50.0
サイファー,40.0,50.0,50.0,61.3,55.9,50.0,50.0
デッドロック,50.0,55.9,30.0,23.6,46.7,40.0,54.5
フェイド,40.0,50.0,50.0,50.0,32.7,50.0,50.0
ゲッコー,50.0,40.0,36.6,50.0,68.3,50.0,50.0
ハーバー,50.0,50.0,40.0,50.0,50.0,33.8,50.0
アイソ,50.0,50.0,60.0,50.0,50.0,50.0,50.0
ジェット,56.3,50.0,50.0,55.9,62.6,44.1,50.0
KAY/O,44.1,51.6,52.9,37.4,46.5,35.6,62.6
キルジョイ,47.4,40.0,50.0,50.0,41.7,50.0,50.0
ネオン,50.0,55.7,62.3,53.8,53.3,56.8,44.9
オーメン,53.0,50.0,40.0,40.0,40.0,50.0,50.0
フェニックス,50.0,42.3,59.1,50.0,50.0,50.0,50.0
レイズ,60.0,40.0,50.0,35.9,50.0,50.0,50.0
レイナ,50.0,50.0,50.0,50.0,44.5,50.0,50.0
セージ,50.0,54.5,39.8,40.0,59.4,57.4,50.0
スカイ,58.7,50.0,50.0,50.0,50.0,50.0,50.0
ソーヴァ,61.5,33.8,40.0,50.0,50.0,54.5,55.9
テホ,50.0,39.8,44.4,44.9,45.2,56.7,44.3
ヴァイパー,60.0,40.0,50.0,50.0,44.1,50.0,50.0
ヴァイス,55.9,50.0,50.0,50.0,50.0,50.0,50.0
ウェイレイ,40.0,60.0,60.0,50.0,50.0,60.0,50.0
ヨル,40.0,50.0,50.0,50.0,50.0,50.0,50.0
ヨル,50.0,50.0,40.0,50.0,60.0,,
