プレイヤー,KTR,おかだ,まさおぷ,はなび,だいこん,かみせ,おむむむ
アストラ,35.9,50.0,50.0,50.0,50.0,50.0,50.0
ブリーチ,53.9,40.0,50.0,50.0,35.9,60.0,50.0
ブリムストーン,57.4,58.3,41.7,53.7,50.0,44.9,65.2
チェンバー,50.0,50.0,50.0,60.0,40.0,50.0,50.0
クローブ,60.0,44.9,36.6,61.1,36.6,44.1,50.0
サイファー,32.7,50.0,69.2,48.5,60.0,64.1,50.0
デッドロック,50.0,64.1,50.0,72.4,55.9,61.1,50.0
フェイド,46.9,40.0,50.0,50.0,50.0,60.0,50.0
ゲッコー,44.1,46.3,31.0,64.0,62.7,53.7,50.0
ハーバー,50.0,59.3,50.0,39.0,61.8,58.3,50.0
アイソ,50.0,50.0,50.0,40.0,50.0,50.0,50.0
ジェット,50.0,40.0,40.0,60.0,36.6,64.1,50.0
KAY/O,46.4,64.8,54.5,58.3,64.1,38.9,50.0
キルジョイ,45.3,60.0,50.0,50.0,54.5,50.0,50.0
ネオン,60.0,46.5,56.3,53.5,48.7,57.7,50.0
オーメン,51.6,64.1,50.0,50.0,50.0,60.0,50.0
フェニックス,50.0,58.2,62.9,50.0,54.9,47.9,53.6
レイズ,40.7,50.0,50.0,35.9,50.0,50.0,50.0
レイナ,45.5,46.3,50.0,48.1,55.3,67.7,59.3
セージ,50.0,58.3,50.0,50.0,40.4,67.3,50.0
スカイ,60.2,50.0,50.0,35.9,50.0,50.0,50.0
ソーヴァ,70.0,55.9,50.0,53.3,40.0,31.0,50.0
テホ,50.0,50.0,40.0,55.9,50.0,60.0,50.0
ヴァイパー,65.3,60.0,55.9,50.0,53.7,50.0,50.0
ヴァイス,60.0,50.0,40.0,50.0,50.0,50.0,50.0
ウェイレイ,50.0,60.0,60.0,50.0,44.1,50.0,50.0
ヨル,35.9,50.0,50.0,50.0,50.0,50.0,50.0
ヨル,50.0,50.0,40.0,50.0,60.0,,
